selected,selection_role,site,relative_path,sample_count,trace_count,time_window_ns,trace_interval_m,line_length_m_est,p01,p05,p50,p95,p99,shallow_rms,middle_rms,deep_rms,deep_shallow_ratio,approx_db_drop,selection_reason,caution_limitation
yes,paper_figure_candidate,YingShan,Line9origin(36).csv,501.0,2378.0,700.0,0.09093,216.14061,-0.0271825639799999,-0.00420281115,-2.06e-07,0.0039640943999999,0.0301073830399998,0.0135938971645353,0.0001120076480167,2.6890359497711027e-05,0.0019781199734145,54.074947114659,selected representative line,raw preview only; no ground-truth claim
yes,paper_figure_candidate,YaAn,测线21-1_功率30dbm_高度11m.csv,501.0,3081.0,900.0,0.11315,348.502,-0.0272535031999999,-0.0024722,-4.7e-08,0.002457162,0.028975341,0.0148576783389423,0.0001625942465359,5.6155434103635485e-05,0.0037795564571115,48.45118310535888,selected representative line,raw preview only; no ground-truth claim
yes,paper_figure_candidate,YaAn,测线21-1_功率36dbm_高度11m.csv,501.0,2836.0,900.0,0.12293,348.50655,-0.01164109725,-0.000853737,1.37e-07,0.000942128,0.0108799079499998,0.0063480894192508,7.025615298878618e-05,3.2872233931168686e-05,0.0051782877902573,45.71627607046349,selected representative line,raw preview only; no ground-truth claim
