site,file_name,shallow_rms,middle_rms,deep_rms,deep_shallow_ratio,approx_db_drop,shallow_dominance_flag,weak_deep_signal_flag,extreme_decay_flag
YingShan,Line9origin(36).csv,0.013593897164535379,0.00011200764801672361,2.6890359497711027e-05,0.001978119973414563,54.07494711529794,True,True,True
YaAn,测线21-1_功率30dbm_高度11m.csv,0.014857678338942318,0.00016259424653590487,5.6155434103635485e-05,0.0037795564571115256,48.45118310594348,True,True,True
YaAn,测线21-1_功率36dbm_高度11m.csv,0.006348089419250872,7.025615298878618e-05,3.2872233931168686e-05,0.005178287790257354,45.71627607183177,True,True,True
