constraint_adjusted,effective_params,metrics,penalties,reason,requested_params,runtime_warning_count,score,stage,trial_label,valid
False,"{""strength"": 1.0, ""smoothing_samples"": 101, ""max_gain"": 12.0}","{""depth_rms_cv"": 0.8404423093496333, ""deep_zone_contrast"": 0.0005865911645540716, ""deep_gain_ratio"": 9.816406049314367, ""deep_gain_effective"": 2.381064060137581, ""clipping_ratio"": 1.6787283297156739e-06, ""hot_pixel_ratio"": 0.001928858850843309, ""shallow_blow_ratio"": 0.7318082818024525, ""window"": 0.0, ""recommended_min_window"": 10.0, ""short_window_ratio"": 0.0}","{""clipping"": 1.678728329715674e-05, ""hot_pixels"": 0.011573153105059854, ""shallow_blowup"": 0.0, ""short_window"": 0.0}",深部对比提升=9.080，有效提升=2.311，深浅均衡CV=0.8257，过曝比=0.0000，窗口下限=10。,"{""strength"": 1.0, ""smoothing_samples"": 101, ""max_gain"": 12.0}",0,3.661613765822275,energy_decay_gain,,True
False,"{""strength"": 1.2, ""smoothing_samples"": 31, ""max_gain"": 12.0}","{""depth_rms_cv"": 0.6981942338937449, ""deep_zone_contrast"": 0.0005194418349477076, ""deep_gain_ratio"": 8.69268457993899, ""deep_gain_effective"": 2.2713714339657307, ""clipping_ratio"": 1.6787283297156739e-06, ""hot_pixel_ratio"": 0.0007084233551400143, ""shallow_blow_ratio"": 0.5447814749171417, ""window"": 0.0, ""recommended_min_window"": 10.0, ""short_window_ratio"": 0.0}","{""clipping"": 1.678728329715674e-05, ""hot_pixels"": 0.004250540130840086, ""shallow_blowup"": 0.0, ""short_window"": 0.0}",深部对比提升=7.455，有效提升=2.135，深浅均衡CV=0.6905，过曝比=0.0000，窗口下限=10。,"{""strength"": 1.2, ""smoothing_samples"": 31, ""max_gain"": 12.0}",0,3.5844643108067515,energy_decay_gain,,True
False,"{""strength"": 1.2, ""smoothing_samples"": 15, ""max_gain"": 12.0}","{""depth_rms_cv"": 0.6959490278975052, ""deep_zone_contrast"": 0.00051423116158702, ""deep_gain_ratio"": 8.605485711988532, ""deep_gain_effective"": 2.2623343636029296, ""clipping_ratio"": 1.6787283297156739e-06, ""hot_pixel_ratio"": 0.0006580615052485441, ""shallow_blow_ratio"": 0.5498587475428843, ""window"": 0.0, ""recommended_min_window"": 10.0, ""short_window_ratio"": 0.0}","{""clipping"": 1.678728329715674e-05, ""hot_pixels"": 0.003948369031491265, ""shallow_blowup"": 0.0, ""short_window"": 0.0}",深部对比提升=7.323，有效提升=2.119，深浅均衡CV=0.6732，过曝比=0.0000，窗口下限=10。,"{""strength"": 1.2, ""smoothing_samples"": 15, ""max_gain"": 12.0}",0,3.5723762457896933,energy_decay_gain,,True
False,"{""strength"": 1.0, ""smoothing_samples"": 61, ""max_gain"": 12.0}","{""depth_rms_cv"": 0.6934991754420157, ""deep_zone_contrast"": 0.0004922267753427328, ""deep_gain_ratio"": 8.237249701471605, ""deep_gain_effective"": 2.2232441899907487, ""clipping_ratio"": 1.6787283297156739e-06, ""hot_pixel_ratio"": 0.0010978883276340507, ""shallow_blow_ratio"": 0.5417952092051713, ""window"": 0.0, ""recommended_min_window"": 10.0, ""short_window_ratio"": 0.0}","{""clipping"": 1.678728329715674e-05, ""hot_pixels"": 0.006587329965804304, ""shallow_blowup"": 0.0, ""short_window"": 0.0}",深部对比提升=6.754，有效提升=2.048，深浅均衡CV=0.6719，过曝比=0.0000，窗口下限=10。,"{""strength"": 1.0, ""smoothing_samples"": 61, ""max_gain"": 12.0}",0,3.4343691934726523,energy_decay_gain,,True
False,"{""strength"": 1.0, ""smoothing_samples"": 15, ""max_gain"": 12.0}","{""depth_rms_cv"": 0.6822911092700791, ""deep_zone_contrast"": 0.00047185591661542085, ""deep_gain_ratio"": 7.896350225100305, ""deep_gain_effective"": 2.185641105562016, ""clipping_ratio"": 1.6787283297156739e-06, ""hot_pixel_ratio"": 0.0011516076341849522, ""shallow_blow_ratio"": 0.5486701728611431, ""window"": 0.0, ""recommended_min_window"": 10.0, ""short_window_ratio"": 0.0}","{""clipping"": 1.678728329715674e-05, ""hot_pixels"": 0.006909645805109713, ""shallow_blowup"": 0.0, ""short_window"": 0.0}",深部对比提升=6.206，有效提升=1.975，深浅均衡CV=0.6062，过曝比=0.0000，窗口下限=10。,"{""strength"": 1.0, ""smoothing_samples"": 15, ""max_gain"": 12.0}",0,3.367676523316953,energy_decay_gain,,True
False,"{""strength"": 1.0, ""smoothing_samples"": 31, ""max_gain"": 12.0}","{""depth_rms_cv"": 0.687566873951557, ""deep_zone_contrast"": 0.00047053704196766316, ""deep_gain_ratio"": 7.87427930100042, ""deep_gain_effective"": 2.1831571265430534, ""clipping_ratio"": 1.6787283297156739e-06, ""hot_pixel_ratio"": 0.001239740871495025, ""shallow_blow_ratio"": 0.5428703306243519, ""window"": 0.0, ""recommended_min_window"": 10.0, ""short_window_ratio"": 0.0}","{""clipping"": 1.678728329715674e-05, ""hot_pixels"": 0.00743844522897015, ""shallow_blowup"": 0.0, ""short_window"": 0.0}",深部对比提升=6.169，有效提升=1.970，深浅均衡CV=0.6197，过曝比=0.0000，窗口下限=10。,"{""strength"": 1.0, ""smoothing_samples"": 31, ""max_gain"": 12.0}",0,3.3393115402635347,energy_decay_gain,,True
False,"{""strength"": 0.8, ""smoothing_samples"": 101, ""max_gain"": 12.0}","{""depth_rms_cv"": 0.9275163235623567, ""deep_zone_contrast"": 0.0004823161525700443, ""deep_gain_ratio"": 8.071398759253185, ""deep_gain_effective"": 2.2051264704563938, ""clipping_ratio"": 1.6787283297156739e-06, ""hot_pixel_ratio"": 0.0031409007048980257, ""shallow_blow_ratio"": 0.7747519052219075, ""window"": 0.0, ""recommended_min_window"": 10.0, ""short_window_ratio"": 0.0}","{""clipping"": 1.678728329715674e-05, ""hot_pixels"": 0.018845404229388154, ""shallow_blowup"": 0.0, ""short_window"": 0.0}",深部对比提升=6.490，有效提升=2.014，深浅均衡CV=0.6927，过曝比=0.0000，窗口下限=10。,"{""strength"": 0.8, ""smoothing_samples"": 101, ""max_gain"": 12.0}",0,3.0845963509078493,energy_decay_gain,,True
False,"{""strength"": 0.8, ""smoothing_samples"": 15, ""max_gain"": 12.0}","{""depth_rms_cv"": 0.7242226112478924, ""deep_zone_contrast"": 0.00041936247822925546, ""deep_gain_ratio"": 7.017890171043753, ""deep_gain_effective"": 2.0816753163270176, ""clipping_ratio"": 1.6787283297156739e-06, ""hot_pixel_ratio"": 0.0017265720871125704, ""shallow_blow_ratio"": 0.5545580206998023, ""window"": 0.0, ""recommended_min_window"": 10.0, ""short_window_ratio"": 0.0}","{""clipping"": 1.678728329715674e-05, ""hot_pixels"": 0.010359432522675422, ""shallow_blowup"": 0.0, ""short_window"": 0.0}",深部对比提升=5.360，有效提升=1.850，深浅均衡CV=0.5430，过曝比=0.0000，窗口下限=10。,"{""strength"": 0.8, ""smoothing_samples"": 15, ""max_gain"": 12.0}",0,3.080798120349603,energy_decay_gain,,True
False,"{""strength"": 0.8, ""smoothing_samples"": 61, ""max_gain"": 12.0}","{""depth_rms_cv"": 0.7242308201740217, ""deep_zone_contrast"": 0.0004436560121124205, ""deep_gain_ratio"": 7.424434298163729, ""deep_gain_effective"": 2.1311363283655087, ""clipping_ratio"": 1.6787283297156739e-06, ""hot_pixel_ratio"": 0.00173832318542058, ""shallow_blow_ratio"": 0.5418436663394828, ""window"": 0.0, ""recommended_min_window"": 10.0, ""short_window_ratio"": 0.0}","{""clipping"": 1.678728329715674e-05, ""hot_pixels"": 0.010429939112523481, ""shallow_blowup"": 0.0, ""short_window"": 0.0}",深部对比提升=5.401，有效提升=1.856，深浅均衡CV=0.6302，过曝比=0.0000，窗口下限=10。,"{""strength"": 0.8, ""smoothing_samples"": 61, ""max_gain"": 12.0}",0,3.080169154386165,energy_decay_gain,,True
False,"{""strength"": 0.8, ""smoothing_samples"": 31, ""max_gain"": 12.0}","{""depth_rms_cv"": 0.7295258039706463, ""deep_zone_contrast"": 0.0004204145873530501, ""deep_gain_ratio"": 7.035496863730998, ""deep_gain_effective"": 2.08386883470525, ""clipping_ratio"": 1.6787283297156739e-06, ""hot_pixel_ratio"": 0.0018449224343575256, ""shallow_blow_ratio"": 0.5465761540096922, ""window"": 0.0, ""recommended_min_window"": 10.0, ""short_window_ratio"": 0.0}","{""clipping"": 1.678728329715674e-05, ""hot_pixels"": 0.011069534606145154, ""shallow_blowup"": 0.0, ""short_window"": 0.0}",深部对比提升=5.213，有效提升=1.827，深浅均衡CV=0.5661，过曝比=0.0000，窗口下限=10。,"{""strength"": 0.8, ""smoothing_samples"": 31, ""max_gain"": 12.0}",0,3.0294125673642425,energy_decay_gain,,True
