0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08,1.261186799e-08
1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07,1.109379042e-07
5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07,5.062838682e-07
1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06,1.601903136e-06
3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06,3.981835107e-06
8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06,8.393978533e-06
1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05,1.585932296e-05
2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05,2.795733417e-05
