scene_id,parent_artifact,at_bg_artifact,trial_count,selected_trial_id,selected_method,selected_parameters,selected_metrics,warnings,claim_boundary
scene_001_flat_dry_sand_pec_shallow,gprmax/GX-008_scene001_flat_dry_sand_pec_shallow_paired_diagnostic/,autotune/AT-BG-003_GX008_scene001_background_suppression_diagnostic,17,trial_003,mean_background_subtraction,"{""mode"": ""moving_window_mean"", ""window_size"": 5, ""axis"": ""trace""}","{""mae"": 0.029371318842451328, ""mse"": 0.00880796154825314, ""rmse"": 0.09385074079757251, ""psnr"": 16.370642559430287}",[],"[""synthetic paired GX-008 scene_001 only"", ""background suppression diagnostic only"", ""fixed workflow parameter recommendation slice"", ""not full AutoTune"", ""not production scoring"", ""not field validation"", ""not no-prior truth correctness"", ""not AutoTune superiority evidence"", ""not paper-candidate benchmark""]"
scene_002_flat_damp_sand_pec_shallow,gprmax/GX-008_scene002_flat_damp_sand_pec_shallow_paired_diagnostic/,autotune/AT-BG-004A_GX008_scene002_background_suppression_diagnostic,17,trial_003,mean_background_subtraction,"{""mode"": ""moving_window_mean"", ""window_size"": 5, ""axis"": ""trace""}","{""mae"": 0.011964291100524606, ""mse"": 0.0013645776488880094, ""rmse"": 0.036940190157713174, ""psnr"": 15.05181790956213}",[],"[""synthetic paired GX-008 scene_002 only"", ""background suppression diagnostic only"", ""fixed workflow parameter recommendation slice"", ""not full AutoTune"", ""not production scoring"", ""not field validation"", ""not no-prior truth correctness"", ""not AutoTune superiority evidence"", ""not paper-candidate benchmark""]"
