method_key,stage,score,valid,params,metrics,reason
dewow,fine,-6.103214941502968,True,"{""_low_energy_guard"": true, ""_seed_rank"": 2, ""window"": 865}","{""baseline_bias_after"": 0.18988725338434906, ""baseline_bias_before"": 0.00035944174352214777, ""baseline_drop"": -1.0, ""low_freq_drop"": 1.2100161028774255e-07, ""low_freq_energy_ratio_after"": 0.9999998789926876, ""low_freq_energy_ratio_before"": 0.9999999999942979, ""peak_fidelity"": 0.9932050478968232, ""peak_ratio"": 0.9986451251014707, ""peak_ratio_raw"": 0.9986451251014707, ""target_band_energy_ratio"": 42948.298701160944, ""target_band_fidelity"": 1.0204947784629595e-28, ""target_band_keep"": 1.25}",基线改善=-1.000，低频改善=0.000，目标频带保真=0.000，峰值保真=0.997。
dewow,coarse,-6.151695465947083,True,"{""window"": 128}","{""baseline_bias_after"": 0.00401676745788243, ""baseline_bias_before"": 0.00035944174352214777, ""baseline_drop"": -1.0, ""low_freq_drop"": 2.458015224707371e-08, ""low_freq_energy_ratio_after"": 0.9999999754141456, ""low_freq_energy_ratio_before"": 0.9999999999942979, ""peak_fidelity"": 0.5905130047411986, ""peak_ratio"": 0.9005519748573139, ""peak_ratio_raw"": 0.9005519748573139, ""target_band_energy_ratio"": 7250.877603641808, ""target_band_fidelity"": 4.746920750337741e-24, ""target_band_keep"": 1.25}",基线改善=-1.000，低频改善=-0.000，目标频带保真=0.253，峰值保真=0.625。
dewow,coarse,-6.164846661483278,True,"{""window"": 713}","{""baseline_bias_after"": 4.590101289739779, ""baseline_bias_before"": 0.00035944174352214777, ""baseline_drop"": -1.0, ""low_freq_drop"": 4.661393439002671e-05, ""low_freq_energy_ratio_after"": 0.9999533860599081, ""low_freq_energy_ratio_before"": 0.9999999999942979, ""peak_fidelity"": 0.9202849920282559, ""peak_ratio"": 0.9836167738425416, ""peak_ratio_raw"": 0.9836167738425416, ""target_band_energy_ratio"": 16407195.835795667, ""target_band_fidelity"": 2.561115761466919e-44, ""target_band_keep"": 1.25}",基线改善=-1.000，低频改善=0.000，目标频带保真=0.000，峰值保真=0.839。
dewow,fine,-6.164846661483278,True,"{""_low_energy_guard"": true, ""_seed_rank"": 2, ""window"": 713}","{""baseline_bias_after"": 4.590101289739779, ""baseline_bias_before"": 0.00035944174352214777, ""baseline_drop"": -1.0, ""low_freq_drop"": 4.661393439002671e-05, ""low_freq_energy_ratio_after"": 0.9999533860599081, ""low_freq_energy_ratio_before"": 0.9999999999942979, ""peak_fidelity"": 0.9202849920282559, ""peak_ratio"": 0.9836167738425416, ""peak_ratio_raw"": 0.9836167738425416, ""target_band_energy_ratio"": 16407195.835795667, ""target_band_fidelity"": 2.561115761466919e-44, ""target_band_keep"": 1.25}",基线改善=-1.000，低频改善=0.000，目标频带保真=0.000，峰值保真=0.839。
dewow,coarse,-6.179521939796538,True,"{""window"": 256}","{""baseline_bias_after"": 0.9407859289055185, ""baseline_bias_before"": 0.00035944174352214777, ""baseline_drop"": -1.0, ""low_freq_drop"": 1.667978371820496e-05, ""low_freq_energy_ratio_after"": 0.9999833202105798, ""low_freq_energy_ratio_before"": 0.9999999999942979, ""peak_fidelity"": 0.8673214377401901, ""peak_ratio"": 1.0287099582526578, ""peak_ratio_raw"": 1.0287099582526578, ""target_band_energy_ratio"": 6660758.771978906, ""target_band_fidelity"": 5.94081663556611e-42, ""target_band_keep"": 1.25}",基线改善=-1.000，低频改善=0.000，目标频带保真=0.000，峰值保真=0.868。
dewow,coarse,-6.233124343696743,True,"{""window"": 570}","{""baseline_bias_after"": 10.115033142437081, ""baseline_bias_before"": 0.00035944174352214777, ""baseline_drop"": -1.0, ""low_freq_drop"": 0.0003701434925831316, ""low_freq_energy_ratio_after"": 0.9996298565017169, ""low_freq_energy_ratio_before"": 0.9999999999942979, ""peak_fidelity"": 0.7147170880665968, ""peak_ratio"": 0.9353937280813478, ""peak_ratio_raw"": 0.9353937280813478, ""target_band_energy_ratio"": 125427364.33997288, ""target_band_fidelity"": 1.178649408846471e-49, ""target_band_keep"": 1.25}",基线改善=-1.000，低频改善=0.000，目标频带保真=0.000，峰值保真=0.915。
frequency_filter_1d,coarse,3.3842292150660453,True,"{""filter_type"": ""bandpass"", ""high_freq_mhz"": 2500.0, ""low_freq_mhz"": 5.0, ""taper_ratio"": 0.12}","{""edge_fidelity"": 0.9893594801148836, ""edge_preservation"": 0.9982309700785567, ""hot_pixel_drop"": 1.0, ""local_saliency_fidelity"": 0.9999695404000156, ""local_saliency_preservation"": 0.9999949584323384, ""low_freq_drop"": -6.2598773223851246e-09, ""low_freq_energy_ratio_after"": 0.9999999999999886, ""low_freq_energy_ratio_before"": 0.9999999937401113, ""peak_fidelity"": 0.9996635397959451, ""peak_ratio"": 0.999916930882146, ""target_band_energy_ratio"": 1.6540847053764242e-05, ""target_band_fidelity"": 9.008056525238682e-25}",低频残留改善=-0.000，目标频带保真=0.672，显著结构保真=1.000，边缘保真=0.997。
frequency_filter_1d,coarse,1.9327134638577819,True,"{""filter_type"": ""bandpass"", ""high_freq_mhz"": 2500.0, ""low_freq_mhz"": 150.0, ""taper_ratio"": 0.04}","{""edge_fidelity"": 0.9901837742313785, ""edge_preservation"": 0.9983685782050704, ""hot_pixel_drop"": 1.0, ""local_saliency_fidelity"": 0.9992643393793214, ""local_saliency_preservation"": 1.0001218146832471, ""low_freq_drop"": -6.259876989318215e-09, ""low_freq_energy_ratio_after"": 0.9999999999999882, ""low_freq_energy_ratio_before"": 0.9999999937401113, ""peak_fidelity"": 0.9973495609191173, ""peak_ratio"": 0.99934505836006, ""target_band_energy_ratio"": 1.6325996779175794e-05, ""target_band_fidelity"": 8.4348398483275e-25}",低频残留改善=0.000，目标频带保真=0.000，显著结构保真=1.000，边缘保真=0.996。
frequency_filter_1d,coarse,1.8695883019258421,True,"{""filter_type"": ""bandpass"", ""high_freq_mhz"": 2500.0, ""low_freq_mhz"": 300.0, ""taper_ratio"": 0.08}","{""edge_fidelity"": 0.9586874825265942, ""edge_preservation"": 1.00700751515151, ""hot_pixel_drop"": 1.0, ""local_saliency_fidelity"": 0.9840345180231833, ""local_saliency_preservation"": 1.0026673907388244, ""low_freq_drop"": -6.259876989318215e-09, ""low_freq_energy_ratio_after"": 0.9999999999999882, ""low_freq_energy_ratio_before"": 0.9999999937401113, ""peak_fidelity"": 0.9530677011385443, ""peak_ratio"": 0.9882037275836384, ""target_band_energy_ratio"": 1.6385828722336336e-05, ""target_band_fidelity"": 8.591446071031401e-25}",低频残留改善=0.000，目标频带保真=0.000，显著结构保真=1.000，边缘保真=0.967。
frequency_filter_1d,coarse,0.1205909918200051,True,"{""filter_type"": ""bandpass"", ""high_freq_mhz"": 40277.203200072814, ""low_freq_mhz"": 5.0, ""taper_ratio"": 0.04}","{""edge_fidelity"": 0.3642976858674236, ""edge_preservation"": 0.8460863807320589, ""hot_pixel_drop"": 1.0, ""local_saliency_fidelity"": 0.3593537778793178, ""local_saliency_preservation"": 0.8441750437128133, ""low_freq_drop"": -3.65846966124732e-09, ""low_freq_energy_ratio_after"": 0.9999999973985809, ""low_freq_energy_ratio_before"": 0.9999999937401113, ""peak_fidelity"": 0.45893740095119795, ""peak_ratio"": 0.8250883038453221, ""target_band_energy_ratio"": 1.0000093823430272, ""target_band_fidelity"": 0.9999528185206976}",低频残留改善=-0.000，目标频带保真=0.033，显著结构保真=0.366，边缘保真=0.367。
frequency_filter_1d,coarse,-1.1611195693031555,True,"{""filter_type"": ""bandpass"", ""high_freq_mhz"": 31797.79200005749, ""low_freq_mhz"": 300.0, ""taper_ratio"": 0.04}","{""edge_fidelity"": 0.24360727201569476, ""edge_preservation"": 0.7915682766753033, ""hot_pixel_drop"": 1.0, ""local_saliency_fidelity"": 0.23343742678667329, ""local_saliency_preservation"": 0.7860009898888164, ""low_freq_drop"": -4.502448553308097e-09, ""low_freq_energy_ratio_after"": 0.9999999982425598, ""low_freq_energy_ratio_before"": 0.9999999937401113, ""peak_fidelity"": 0.3304031185073198, ""peak_ratio"": 0.7608012165163375, ""target_band_energy_ratio"": 0.9999922267791823, ""target_band_fidelity"": 0.999960909904293}",低频残留改善=-0.000，目标频带保真=0.026，显著结构保真=0.240，边缘保真=0.245。
frequency_filter_1d,coarse,-3.613451909151934,True,"{""filter_type"": ""bandpass"", ""high_freq_mhz"": 27558.086400049822, ""low_freq_mhz"": 5.0, ""taper_ratio"": 0.12}","{""edge_fidelity"": 0.09724662488415244, ""edge_preservation"": 0.6799525743260583, ""hot_pixel_drop"": 1.0, ""local_saliency_fidelity"": 0.09749687807333107, ""local_saliency_preservation"": 0.6802418778740157, ""low_freq_drop"": -4.392166102778836e-09, ""low_freq_energy_ratio_after"": 0.9999999981322774, ""low_freq_energy_ratio_before"": 0.9999999937401113, ""peak_fidelity"": 0.19571928544678585, ""peak_ratio"": 0.6685480410677243, ""target_band_energy_ratio"": 1.0000111070485969, ""target_band_fidelity"": 0.9999441456939401}",低频残留改善=-0.000，目标频带保真=0.004，显著结构保真=0.099，边缘保真=0.098。
frequency_filter_1d,coarse,-3.913820294521434,True,"{""filter_type"": ""bandpass"", ""high_freq_mhz"": 27558.086400049822, ""low_freq_mhz"": 150.0, ""taper_ratio"": 0.12}","{""edge_fidelity"": 0.07332971135081898, ""edge_preservation"": 0.6489144607490319, ""hot_pixel_drop"": 1.0, ""local_saliency_fidelity"": 0.07341842761840335, ""local_saliency_preservation"": 0.6490443363297805, ""low_freq_drop"": -4.204449148510918e-09, ""low_freq_energy_ratio_after"": 0.9999999979445604, ""low_freq_energy_ratio_before"": 0.9999999937401113, ""peak_fidelity"": 0.16186137945557566, ""peak_ratio"": 0.6379241416477206, ""target_band_energy_ratio"": 1.0000636490264148, ""target_band_fidelity"": 0.999679977162217}",低频残留改善=-0.000，目标频带保真=0.002，显著结构保真=0.075，边缘保真=0.074。
frequency_filter_1d,coarse,-4.351922831017544,True,"{""filter_type"": ""bandpass"", ""high_freq_mhz"": 40277.203200072814, ""low_freq_mhz"": 450.0, ""taper_ratio"": 0.08}","{""edge_fidelity"": 0.03936865739943808, ""edge_preservation"": 0.5854329215098104, ""hot_pixel_drop"": 1.0, ""local_saliency_fidelity"": 0.03917397439261484, ""local_saliency_preservation"": 0.5849527588925093, ""low_freq_drop"": -6.040752380598555e-10, ""low_freq_energy_ratio_after"": 0.9999999943441865, ""low_freq_energy_ratio_before"": 0.9999999937401113, ""peak_fidelity"": 0.10625273113074771, ""peak_ratio"": 0.5749661029942641, ""target_band_energy_ratio"": 0.9999741819050025, ""target_band_fidelity"": 0.9998701702752648}",低频残留改善=-0.000，目标频带保真=0.001，显著结构保真=0.040，边缘保真=0.040。
subtracting_average_2D,fine,-3.074438339456031,True,"{""_seed_rank"": 1, ""ntraces"": 57}","{""edge_preservation"": 0.11353924189745189, ""horizontal_coherence"": 0.0009695305309717451, ""local_saliency_preservation"": 0.06687446790221432, ""peak_ratio"": 0.03165594860911369}",背景一致性=0.0013，显著结构保留=0.000，边缘保留=0.115。
subtracting_average_2D,coarse,-3.075857252561528,True,"{""ntraces"": 81}","{""edge_preservation"": 0.1106768452674051, ""horizontal_coherence"": 0.00010698131244940257, ""local_saliency_preservation"": 0.06450530041224814, ""peak_ratio"": 0.037579428404569626}",背景一致性=0.0007，显著结构保留=0.000，边缘保留=0.111。
subtracting_average_2D,fine,-3.076781764467799,True,"{""_seed_rank"": 1, ""ntraces"": 85}","{""edge_preservation"": 0.11042721552873205, ""horizontal_coherence"": 2.0181796015046835e-05, ""local_saliency_preservation"": 0.0645436792803145, ""peak_ratio"": 0.03782855346798897}",背景一致性=0.0005，显著结构保留=0.000，边缘保留=0.110。
subtracting_average_2D,fine,-3.0769654380128886,True,"{""_seed_rank"": 1, ""ntraces"": 77}","{""edge_preservation"": 0.11064804775074974, ""horizontal_coherence"": 0.00025748723549285843, ""local_saliency_preservation"": 0.06443860286078675, ""peak_ratio"": 0.03732840344309807}",背景一致性=0.0009，显著结构保留=0.000，边缘保留=0.111。
subtracting_average_2D,coarse,-3.0782002740002397,True,"{""ntraces"": 90}","{""edge_preservation"": 0.11024633243116944, ""horizontal_coherence"": 1.3767047675649094e-18, ""local_saliency_preservation"": 0.06448595628281736, ""peak_ratio"": 0.03798503801226616}",背景一致性=0.0004，显著结构保留=0.000，边缘保留=0.109。
subtracting_average_2D,coarse,-3.0791169328965053,True,"{""ntraces"": 51}","{""edge_preservation"": 0.11278533798736018, ""horizontal_coherence"": 0.0006837289196573617, ""local_saliency_preservation"": 0.06541968310313567, ""peak_ratio"": 0.030700143426656723}",背景一致性=0.0008，显著结构保留=0.000，边缘保留=0.115。
subtracting_average_2D,fine,-3.0801939858757326,True,"{""_seed_rank"": 1, ""ntraces"": 69}","{""edge_preservation"": 0.11089117062091058, ""horizontal_coherence"": 0.0006992611613978305, ""local_saliency_preservation"": 0.06455622569449983, ""peak_ratio"": 0.03612777963280678}",背景一致性=0.0014，显著结构保留=0.000，边缘保留=0.111。
subtracting_average_2D,coarse,-3.08812193038347,True,"{""ntraces"": 41}","{""edge_preservation"": 0.11109387747119949, ""horizontal_coherence"": 0.00028612061970642914, ""local_saliency_preservation"": 0.0629557601082318, ""peak_ratio"": 0.03090636432170868}",背景一致性=0.0005，显著结构保留=0.000，边缘保留=0.113。
subtracting_average_2D,fine,-3.08812193038347,True,"{""_seed_rank"": 2, ""ntraces"": 42}","{""edge_preservation"": 0.11109387747119949, ""horizontal_coherence"": 0.00028612061970642914, ""local_saliency_preservation"": 0.0629557601082318, ""peak_ratio"": 0.03090636432170868}",背景一致性=0.0005，显著结构保留=0.000，边缘保留=0.113。
subtracting_average_2D,fine,-3.099148972428389,True,"{""_seed_rank"": 2, ""ntraces"": 35}","{""edge_preservation"": 0.10969502121723834, ""horizontal_coherence"": 0.00017524516313061886, ""local_saliency_preservation"": 0.06215487748551491, ""peak_ratio"": 0.029916878789663315}",背景一致性=0.0004，显著结构保留=0.000，边缘保留=0.111。
subtracting_average_2D,fine,-3.099148972428389,True,"{""_seed_rank"": 2, ""ntraces"": 36}","{""edge_preservation"": 0.10969502121723834, ""horizontal_coherence"": 0.00017524516313061886, ""local_saliency_preservation"": 0.06215487748551491, ""peak_ratio"": 0.029916878789663315}",背景一致性=0.0004，显著结构保留=0.000，边缘保留=0.111。
subtracting_average_2D,coarse,-3.1139416337683175,True,"{""ntraces"": 31}","{""edge_preservation"": 0.10743796340019741, ""horizontal_coherence"": 0.00013025686046169385, ""local_saliency_preservation"": 0.06070055450107949, ""peak_ratio"": 0.028222551569342613}",背景一致性=0.0004，显著结构保留=0.000，边缘保留=0.108。
subtracting_average_2D,fine,-3.148450977841702,True,"{""_seed_rank"": 2, ""ntraces"": 27}","{""edge_preservation"": 0.10310792686481325, ""horizontal_coherence"": 9.818803969676569e-05, ""local_saliency_preservation"": 0.057866159745447204, ""peak_ratio"": 0.025976769626140594}",背景一致性=0.0002，显著结构保留=0.000，边缘保留=0.100。
subtracting_average_2D,coarse,-3.2290817329721597,True,"{""ntraces"": 21}","{""edge_preservation"": 0.09041479011265913, ""horizontal_coherence"": 6.397808954543947e-05, ""local_saliency_preservation"": 0.04988344669088567, ""peak_ratio"": 0.02138914167881012}",背景一致性=0.0003，显著结构保留=0.000，边缘保留=0.082。
subtracting_average_2D,fine,-3.2290817329721597,True,"{""_seed_rank"": 2, ""ntraces"": 22}","{""edge_preservation"": 0.09041479011265913, ""horizontal_coherence"": 6.397808954543947e-05, ""local_saliency_preservation"": 0.04988344669088567, ""peak_ratio"": 0.02138914167881012}",背景一致性=0.0003，显著结构保留=0.000，边缘保留=0.082。
subtracting_average_2D,coarse,-3.54734339178306,True,"{""ntraces"": 8}","{""edge_preservation"": 0.027292872042772663, ""horizontal_coherence"": 1.594229237270705e-05, ""local_saliency_preservation"": 0.01356867393279487, ""peak_ratio"": 0.005230144131928682}",背景一致性=0.0003，显著结构保留=0.000，边缘保留=0.020。
subtracting_average_2D,coarse,-3.589130910730879,True,"{""ntraces"": 5}","{""edge_preservation"": 0.017553112643846815, ""horizontal_coherence"": 1.0986476428050666e-05, ""local_saliency_preservation"": 0.008498963222042964, ""peak_ratio"": 0.003271436085924506}",背景一致性=0.0003，显著结构保留=0.000，边缘保留=0.012。
energy_decay_gain,coarse,1.1422626169274313,True,"{""max_gain"": 12.0, ""smoothing_samples"": 15, ""strength"": 1.2}","{""clipping_ratio"": 4.909180166912126e-05, ""deep_gain_effective"": 1.389179538789691, ""deep_gain_ratio"": 3.011557375202424, ""deep_zone_contrast"": 0.03461117815566889, ""depth_rms_cv"": 1.1447792434873958, ""hot_pixel_ratio"": 0.0018163966617574866, ""recommended_min_window"": 42.0, ""shallow_blow_ratio"": 11.96980273969782, ""short_window_ratio"": 0.0, ""window"": 0.0}",深部对比提升=12.000，有效提升=2.565，深浅均衡CV=0.9646，过曝比=0.0002，窗口下限=42。
energy_decay_gain,coarse,1.1034245104092073,True,"{""max_gain"": 12.0, ""smoothing_samples"": 31, ""strength"": 1.2}","{""clipping_ratio"": 4.909180166912126e-05, ""deep_gain_effective"": 1.3429237437066424, ""deep_gain_ratio"": 2.8302257488217664, ""deep_zone_contrast"": 0.032527172957030996, ""depth_rms_cv"": 1.1563976864124326, ""hot_pixel_ratio"": 0.002110947471772214, ""recommended_min_window"": 42.0, ""shallow_blow_ratio"": 11.94347193069282, ""short_window_ratio"": 0.0, ""window"": 0.0}",深部对比提升=12.000，有效提升=2.565，深浅均衡CV=0.9199，过曝比=0.0002，窗口下限=42。
energy_decay_gain,coarse,1.0912866010533737,True,"{""max_gain"": 12.0, ""smoothing_samples"": 61, ""strength"": 1.2}","{""clipping_ratio"": 4.909180166912126e-05, ""deep_gain_effective"": 1.299792539935172, ""deep_gain_ratio"": 2.6685355140519205, ""deep_zone_contrast"": 0.03066890202793242, ""depth_rms_cv"": 1.1641279072785893, ""hot_pixel_ratio"": 0.0024327715049364536, ""recommended_min_window"": 42.0, ""shallow_blow_ratio"": 11.959083209043616, ""short_window_ratio"": 0.0, ""window"": 0.0}",深部对比提升=12.000，有效提升=2.565，深浅均衡CV=0.8559，过曝比=0.0003，窗口下限=42。
