method_key,stage,score,valid,params,metrics,reason
set_zero_time,coarse,-5.138552235748022,True,"{""_backup_samples"": 4, ""_detector"": ""threshold"", ""_first_break_std_before"": 0.0, ""_threshold"": 0.12, ""_zero_idx"": 159, ""new_zero_time"": 1.8751301977159989}","{""first_break_sharpness"": 0.05458512495164443, ""first_break_std"": 0.0, ""pre_zero_energy_ratio"": 0.7186251350421926}",零时前能量=0.7201，首波离散度=0.00，锐度=0.014；检测=threshold，回退样本=159。
set_zero_time,coarse,-5.443698405016489,True,"{""_backup_samples"": 2, ""_detector"": ""threshold"", ""_first_break_std_before"": 0.0, ""_threshold"": 0.12, ""_zero_idx"": 161, ""new_zero_time"": 1.8987167410834955}","{""first_break_sharpness"": 0.17779005463013411, ""first_break_std"": 0.0, ""pre_zero_energy_ratio"": 0.7732997770714453}",零时前能量=0.7749，首波离散度=0.00，锐度=0.046；检测=threshold，回退样本=161。
set_zero_time,coarse,-6.465625837747181,True,"{""_backup_samples"": 6, ""_detector"": ""peak"", ""_first_break_std_before"": 0.0, ""_threshold"": 0.02, ""_zero_idx"": 177, ""new_zero_time"": 2.0874090880234704}","{""first_break_sharpness"": 0.5243402312313903, ""first_break_std"": 0.0, ""pre_zero_energy_ratio"": 0.9526027859793934}",零时前能量=0.9546，首波离散度=0.00，锐度=0.137；检测=peak，回退样本=177。
set_zero_time,coarse,-6.510721412837757,True,"{""_backup_samples"": 4, ""_detector"": ""peak"", ""_first_break_std_before"": 0.0, ""_threshold"": 0.02, ""_zero_idx"": 179, ""new_zero_time"": 2.110995631390967}","{""first_break_sharpness"": 0.45342467174502843, ""first_break_std"": 0.0, ""pre_zero_energy_ratio"": 0.9525914907296246}",零时前能量=0.9546，首波离散度=0.00，锐度=0.119；检测=peak，回退样本=179。
set_zero_time,coarse,-6.566381684698486,True,"{""_backup_samples"": 2, ""_detector"": ""peak"", ""_first_break_std_before"": 0.0, ""_threshold"": 0.02, ""_zero_idx"": 181, ""new_zero_time"": 2.134582174758464}","{""first_break_sharpness"": 0.371638966096659, ""first_break_std"": 0.0, ""pre_zero_energy_ratio"": 0.9530604820822284}",零时前能量=0.9550，首波离散度=0.00，锐度=0.097；检测=peak，回退样本=181。
set_zero_time,coarse,-7.020121972956299,True,"{""_backup_samples"": 6, ""_detector"": ""first_break"", ""_first_break_std_before"": 0.0, ""_threshold"": 0.02, ""_zero_idx"": 222, ""new_zero_time"": 2.618106313792149}","{""first_break_sharpness"": 0.0174664486682008, ""first_break_std"": 0.0, ""pre_zero_energy_ratio"": 0.9977684657353095}",零时前能量=0.9999，首波离散度=0.00，锐度=0.005；检测=first_break，回退样本=222。
set_zero_time,coarse,-7.024469670289207,True,"{""_backup_samples"": 4, ""_detector"": ""first_break"", ""_first_break_std_before"": 0.0, ""_threshold"": 0.02, ""_zero_idx"": 224, ""new_zero_time"": 2.6416928571596463}","{""first_break_sharpness"": 0.00941964808623068, ""first_break_std"": 0.0, ""pre_zero_energy_ratio"": 0.9977771197203167}",零时前能量=0.9999，首波离散度=0.00，锐度=0.002；检测=first_break，回退样本=224。
set_zero_time,coarse,-7.025469601867991,True,"{""_backup_samples"": 2, ""_detector"": ""first_break"", ""_first_break_std_before"": 0.0, ""_threshold"": 0.02, ""_zero_idx"": 226, ""new_zero_time"": 2.665279400527143}","{""first_break_sharpness"": 0.003323605389175179, ""first_break_std"": 0.0, ""pre_zero_energy_ratio"": 0.9977876692805713}",零时前能量=0.9999，首波离散度=0.00，锐度=0.001；检测=first_break，回退样本=226。
dewow,fine,-0.48414465115364763,True,"{""_low_energy_guard"": true, ""_seed_rank"": 1, ""window"": 18}","{""baseline_bias_after"": 1.704932881788488e-06, ""baseline_bias_before"": 0.00035944174352214777, ""baseline_drop"": 0.9952567198648606, ""low_freq_drop"": 3.986085350705074e-09, ""low_freq_energy_ratio_after"": 0.9999999960082125, ""low_freq_energy_ratio_before"": 0.9999999999942979, ""peak_fidelity"": 6.977236812720926e-08, ""peak_ratio"": 0.03775376874316411, ""peak_ratio_raw"": 0.03775376874316411, ""target_band_energy_ratio"": 0.4924597794940615, ""target_band_fidelity"": 0.013847623232165568, ""target_band_keep"": 0.4924597794940615}",基线改善=0.960，低频改善=-0.000，目标频带保真=0.000，峰值保真=0.000。
dewow,coarse,-0.4860173970529147,True,"{""window"": 16}","{""baseline_bias_after"": 1.3371873355630046e-06, ""baseline_bias_before"": 0.00035944174352214777, ""baseline_drop"": 0.9962798218079515, ""low_freq_drop"": 5.683589710014026e-09, ""low_freq_energy_ratio_after"": 0.9999999943107082, ""low_freq_energy_ratio_before"": 0.9999999999942979, ""peak_fidelity"": 2.3060877502547008e-08, ""peak_ratio"": 0.030293628848697997, ""peak_ratio_raw"": 0.030293628848697997, ""target_band_energy_ratio"": 0.4667362858297359, ""target_band_fidelity"": 0.010013983060205237, ""target_band_keep"": 0.4667362858297359}",基线改善=0.968，低频改善=-0.000，目标频带保真=0.000，峰值保真=0.000。
