site,relative_path,shallow_rms,middle_rms,deep_rms,deep_shallow_ratio,approx_db_drop
YingShan,Line3origin(20).csv,0.005286306203753827,7.257405988101035e-05,1.2085822859347413e-05,0.002286251002782476,52.817521101869794
YingShan,Line3origin(30).csv,0.013100868548159674,0.00011135827619662525,3.077033738035473e-05,0.0023487249923347373,52.58335633664426
YingShan,Line3origin(36).csv,0.013044093693624127,0.00011336134601525143,0.00044408669245135304,0.03404504006808997,29.358922987601183
YingShan,Line6origin(20).csv,0.005702595490408528,5.300576399805547e-05,1.348196993842266e-05,0.002364181355857809,52.52638359321988
YingShan,Line6origin(30).csv,0.013330362106158128,0.000105550399639334,0.0005881922166870437,0.04412424898910443,27.106453453083468
YingShan,Line6origin(36).csv,0.01300486439518989,9.656165280196758e-05,2.7341353731301718e-05,0.002102394373401884,53.54571597057334
YingShan,Line7origin(20).csv,0.005669775207830728,5.0019240016623096e-05,1.1087870164932382e-05,0.001955610188851673,54.174353390648065
YingShan,Line7origin(30).csv,0.012956298098433985,0.00011642740806203722,2.2476467831825217e-05,0.0017347908840212565,55.215056986512785
YingShan,Line7origin(36).csv,0.012988966562208758,0.0001100827462200497,2.1787632041852866e-05,0.0016773953445413986,55.507290934574954
YingShan,Line9origin(20).csv,0.00535256897482824,7.441457212286016e-05,1.8172268492336828e-05,0.0033950554542681,49.38306207466697
YingShan,Line9origin(30).csv,0.0055329903007930925,5.808841012094493e-05,1.27876254443761e-05,0.002311159924235388,52.72339935700123
YingShan,Line9origin(36).csv,0.013593897164535379,0.00011200764801672361,2.6890359497711027e-05,0.001978119973414563,54.074947114659
YingShan,LineL1origin(20).csv,0.005691075196700725,4.669396583585688e-05,1.0694414481978205e-05,0.0018791553638542776,54.52074542853304
YingShan,LineL1origin(30).csv,0.013497189570218381,0.00012675603514900445,2.63974707744622e-05,0.0019557753587982757,54.173620269666344
YingShan,LineL1origin(36).csv,0.013183731914093211,0.00013815711571744731,2.1344362706461197e-05,0.0016189924708378204,55.81510301182991
YingShan,LineX1origin(20).csv,0.005669160967733308,4.296640987554093e-05,1.1266888339647043e-05,0.0019873996176460423,54.03429519046661
YingShan,LineX1origin(30).csv,0.013070573164750812,9.859321625986877e-05,2.4754226321941925e-05,0.001893889886076305,54.45290515323164
YingShan,LineX1origin(36).csv,0.01310210462226997,0.00012597491859239404,2.1417022025622498e-05,0.0016346245617073962,55.73163918848295
YaAn,mainred_40dbm_11m.csv,0.006935607936615745,4.123800657272038e-05,1.2788438529717653e-05,0.0018438814083193142,54.685339613008324
YaAn,测线21-1_功率30dbm_高度11m.csv,0.014857678338942318,0.00016259424653590487,5.6155434103635485e-05,0.0037795564571115256,48.45118310535888
YaAn,测线21-1_功率30dbm_高度16m.csv,0.014820400667804098,0.00015291529459075982,4.924153339196702e-05,0.003322550752554183,49.57056735178732
YaAn,测线21-1_功率36dbm_高度11m.csv,0.006348089419250872,7.025615298878618e-05,3.2872233931168686e-05,0.005178287790257354,45.71627607046349
YaAn,测线21-1_功率36dbm_高度16m.csv,0.006316730083655016,7.245479081091454e-05,3.279034190250656e-05,0.0051910310347681125,45.69492722846852
YaAn,测线21-2_功率30dbm_高度11m.csv,0.01486409011600412,0.00016128369514688658,5.5388969327400856e-05,0.0037263612434483106,48.574300757736125
YaAn,测线21-2_功率30dbm_高度16m.csv,0.014790686368985395,0.00016792935515306037,5.5865904527192596e-05,0.0037771002057306728,48.456829709959806
YaAn,测线21-2_功率36dbm_高度11m.csv,0.006340724217764728,6.999671857745501e-05,3.251380677222314e-05,0.005127774944245267,45.80142061409592
