relative_path,inferred_site,inferred_data_category,file_size_bytes,sha256
2025-09_营山\impulse2.in,YingShan,gprmax_model_in,563,5e2281f6ea0c406019bd98e91d09603a5e94953b16047380a74c77868fd62bc5
2025-09_营山\materials.txt,YingShan,material_file,118,f30dd447d881cfdbb86180aaf2a10d83b447662a3f2838cb058970cb2b253df0
